field,x_utm33n_m_centered,y_utm33n_m_centered
Offshore Zannone Island,-364.0,186.1
Offshore Zannone Island,-353.8,224.1
Offshore Zannone Island,-332.9,184.1
Offshore Zannone Island,-318.0,248.6
Offshore Zannone Island,-290.6,96.1
Offshore Zannone Island,-282.5,186.1
Offshore Zannone Island,-273.0,297.6
Offshore Zannone Island,-256.1,129.6
Offshore Zannone Island,-255.7,-108.9
Offshore Zannone Island,-249.9,343.1
Offshore Zannone Island,-248.6,-380.9
Offshore Zannone Island,-244.2,-316.9
Offshore Zannone Island,-231.5,628.6
Offshore Zannone Island,-229.6,500.6
Offshore Zannone Island,-229.5,-250.9
Offshore Zannone Island,-223.0,80.1
Offshore Zannone Island,-221.4,537.1
Offshore Zannone Island,-220.8,-32.9
Offshore Zannone Island,-219.8,0.6
Offshore Zannone Island,-214.7,-488.4
Offshore Zannone Island,-209.3,162.1
Offshore Zannone Island,-208.4,-206.9
Offshore Zannone Island,-192.0,-148.4
Offshore Zannone Island,-181.7,-297.4
Offshore Zannone Island,-178.4,280.6
Offshore Zannone Island,-172.1,-468.4
Offshore Zannone Island,-170.8,-30.4
Offshore Zannone Island,-169.4,-74.9
Offshore Zannone Island,-166.0,-420.4
Offshore Zannone Island,-163.7,-221.9
Offshore Zannone Island,-150.3,179.1
Offshore Zannone Island,-149.7,242.6
Offshore Zannone Island,-148.1,627.6
Offshore Zannone Island,-144.6,-25.9
Offshore Zannone Island,-141.0,-93.4
Offshore Zannone Island,-126.7,206.1
Offshore Zannone Island,-119.4,-128.4
Offshore Zannone Island,-109.1,662.6
Offshore Zannone Island,-106.2,-212.4
Offshore Zannone Island,-103.0,-82.4
Offshore Zannone Island,-97.1,-171.9
Offshore Zannone Island,-75.8,549.1
Offshore Zannone Island,-69.5,-211.9
Offshore Zannone Island,-65.6,-254.9
Offshore Zannone Island,-56.1,579.1
Offshore Zannone Island,-55.0,49.1
Offshore Zannone Island,-53.4,-198.4
Offshore Zannone Island,-41.1,502.1
Offshore Zannone Island,-34.2,-130.9
Offshore Zannone Island,-31.4,-220.9
Offshore Zannone Island,-26.4,-71.4
Offshore Zannone Island,-23.9,60.6
Offshore Zannone Island,-22.9,409.1
Offshore Zannone Island,-21.2,443.6
Offshore Zannone Island,-18.1,-23.9
Offshore Zannone Island,-16.3,-136.4
Offshore Zannone Island,-8.7,-52.9
Offshore Zannone Island,-7.7,-577.9
Offshore Zannone Island,2.0,107.1
Offshore Zannone Island,3.4,-216.9
Offshore Zannone Island,13.6,68.1
Offshore Zannone Island,43.7,259.1
Offshore Zannone Island,45.3,129.6
Offshore Zannone Island,47.2,519.1
Offshore Zannone Island,56.9,202.6
Offshore Zannone Island,59.2,-140.9
Offshore Zannone Island,72.0,-224.9
Offshore Zannone Island,72.4,-756.9
Offshore Zannone Island,83.7,-161.9
Offshore Zannone Island,83.8,415.6
Offshore Zannone Island,85.6,137.1
Offshore Zannone Island,104.9,466.6
Offshore Zannone Island,109.6,-319.9
Offshore Zannone Island,110.6,567.1
Offshore Zannone Island,114.2,-139.9
Offshore Zannone Island,115.1,-260.4
Offshore Zannone Island,116.5,525.6
Offshore Zannone Island,127.3,174.6
Offshore Zannone Island,129.3,-196.4
Offshore Zannone Island,136.3,20.1
Offshore Zannone Island,147.0,-297.4
Offshore Zannone Island,150.4,-55.4
Offshore Zannone Island,155.9,-204.9
Offshore Zannone Island,156.4,-403.9
Offshore Zannone Island,173.5,-269.9
Offshore Zannone Island,174.9,-39.4
Offshore Zannone Island,175.6,393.1
Offshore Zannone Island,177.1,477.6
Offshore Zannone Island,178.5,-298.9
Offshore Zannone Island,183.8,-220.4
Offshore Zannone Island,185.2,-246.9
Offshore Zannone Island,188.4,-371.9
Offshore Zannone Island,188.6,370.6
Offshore Zannone Island,197.1,-163.9
Offshore Zannone Island,201.4,518.1
Offshore Zannone Island,202.9,394.1
Offshore Zannone Island,205.7,-741.9
Offshore Zannone Island,207.9,-589.9
Offshore Zannone Island,214.2,-658.4
Offshore Zannone Island,223.3,-340.4
Offshore Zannone Island,224.4,-522.9
Offshore Zannone Island,278.7,585.6
Offshore Zannone Island,279.2,-184.9
Offshore Zannone Island,286.6,-480.4
Offshore Zannone Island,289.5,-741.9
Offshore Zannone Island,290.8,-591.9
Offshore Zannone Island,292.8,643.6
Offshore Zannone Island,293.3,512.6
Offshore Zannone Island,296.8,555.1
Offshore Zannone Island,350.0,540.1
Offshore Zannone Island,379.4,-530.4
Offshore Zannone Island,411.5,-765.9
northwestern Calabrian margin,-12345.3,22007.1
northwestern Calabrian margin,-9753.3,-7011.4
northwestern Calabrian margin,-9486.1,-6441.4
northwestern Calabrian margin,-9469.8,-4440.9
northwestern Calabrian margin,-9387.2,-3208.4
northwestern Calabrian margin,-9302.8,-6892.9
northwestern Calabrian margin,-9281.5,-6366.4
northwestern Calabrian margin,-9076.8,-1037.9
northwestern Calabrian margin,-9020.1,-1584.9
northwestern Calabrian margin,-9017.5,-4648.4
northwestern Calabrian margin,-8936.5,110.6
northwestern Calabrian margin,-8919.8,-4521.4
northwestern Calabrian margin,-8896.0,-462.9
northwestern Calabrian margin,-8880.1,-4310.9
northwestern Calabrian margin,-8863.5,-1068.4
northwestern Calabrian margin,-8757.0,-4341.4
northwestern Calabrian margin,-8616.9,-1182.4
northwestern Calabrian margin,-8613.1,-5035.4
northwestern Calabrian margin,-8592.3,-4035.9
